"date","spy_return","rv_21","rv_42","rv_63","momentum_21","momentum_63","ma_gap_21","ma_gap_63","vxx_return","tlt_return","gld_return","qqq_return","iwm_return"
2021-11-23,0.00132498663070457,0.0196678498710552,0.0447278537208601,0.0545090879533644,0.0277466059130647,0.0462895814543052,0.00739963281429534,0.0398743291210129,-0.0227605623656997,-0.0145646885645716,-0.00869005346847818,-0.00456818675078274,-0.00172770800902988
2021-11-24,0.00266629468084201,0.0198273598081317,0.0447155729049589,0.0542521454246964,0.0295639431064947,0.0553127344486635,0.00869605289022246,0.0417469813351441,-0.0144930627244859,0.015928144447491,-0.000956959792104861,0.00321517761315793,0.00108021084661392
2021-11-26,-0.0225554365923433,0.0297011584161498,0.0457579923767031,0.0580759115221411,0.0110808064778327,0.0226328316095801,-0.0143081676919939,0.0181486377623508,0.241370616939892,0.0249543314412319,-0.00161684625267,-0.0191409063003372,-0.0384264868635409
2021-11-29,0.0121918809277366,0.030636435376649,0.0473244921630186,0.0591793782294628,0.0137021882744033,0.0306445443860142,-0.0028575771975804,0.0301366858146479,-0.170918953463702,-0.00807010872928515,-0.00137950053655356,0.0214702436616765,-0.000628560412952339
2021-11-30,-0.019649434429847,0.0363398175844409,0.0497441045509264,0.0623385936599914,-0.00803491095114539,0.0120902894708104,-0.0218907455073564,0.00989922783019725,0.143795989877392,0.0150874214403425,-0.00674454642456812,-0.0147951220061646,-0.0205958948867311
2021-12-01,-0.0111693235466381,0.0379787081925697,0.0495949024985396,0.0633290736974441,-0.0207373284897332,0.000317030895374826,-0.0318104329921964,-0.00132292026432956,0.0697781170745957,0.00615028131826634,0.00398000679039345,-0.0171592839770449,-0.0227623727891428
2021-12-02,0.01520031754937,0.0407081186932932,0.0502217559992968,0.0650552477044353,-0.00974225507132964,0.0125232624254557,-0.0165283114373399,0.0137714392225878,-0.0596178015719433,0.00124655477092173,-0.00555220583539917,0.00718132026086504,0.0275182225582151
2021-12-03,-0.00873958089816806,0.0411883958386299,0.0499145185792273,0.0656392155478802,-0.0243157384778161,0.00395643486553476,-0.0239567312850028,0.00488693532957774,0.0835060119489546,0.0118610814157503,0.0083768190817386,-0.0175418285994837,-0.0207421529328489
2021-12-06,0.0117738516224213,0.0425793694775631,0.0511163429305005,0.0665905390633373,-0.0173909736283628,0.0194919573438952,-0.0115743084528984,0.0164745903926042,-0.0811758604755708,-0.0138306046048839,-0.00246359538507068,0.00798087492062116,0.0198748699441262
2021-12-07,0.0204737602727381,0.047118802507792,0.0543870206245738,0.0696562192619066,-0.000533596780432632,0.0418491314423883,0.0088969415195006,0.0368142974747936,-0.118462130243729,-0.00811208655300799,0.00354320606133474,0.0296695318530595,0.0229293153748653
