"date","actual","logit_prob","rf_prob","xgb_prob","train_end_date","risk_score","risk_regime"
2024-12-20,0,0.076994204241201,0.00666666666666667,0.0204429533332586,2024-12-09,0.00666666666666667,"Low"
2024-12-23,0,0.109393344274312,0,0.0214447695761919,2024-12-09,0,"Low"
2024-12-24,0,0.086557637259502,0.00333333333333333,0.020548215135932,2024-12-09,0.00333333333333333,"Low"
2024-12-26,0,0.0853810771518872,0.01,0.020548215135932,2024-12-09,0.01,"Low"
2024-12-27,0,0.111552300729862,0,0.0186960380524397,2024-12-09,0,"Low"
2024-12-30,0,0.105834379681273,0,0.0186960380524397,2024-12-09,0,"Low"
2024-12-31,0,0.0906040079136302,0,0.0195955447852612,2024-12-09,0,"Low"
2025-01-02,0,0.0819174178245895,0.00666666666666667,0.0183558724820614,2024-12-09,0.00666666666666667,"Low"
2025-01-03,0,0.0844312357210345,0.01,0.0258837472647429,2024-12-09,0.01,"Low"
2025-01-06,0,0.0878687585262141,0,0.0252046976238489,2024-12-09,0,"Low"
2025-01-07,0,0.079457493694821,0.00666666666666667,0.0229426268488169,2024-12-09,0.00666666666666667,"Low"
2025-01-08,0,0.0774684077359694,0.00333333333333333,0.0252046976238489,2024-12-09,0.00333333333333333,"Low"
2025-01-10,0,0.106889333658207,0.0166666666666667,0.0328738652169704,2024-12-09,0.0166666666666667,"Low"
2025-01-13,0,0.101843895887551,0,0.038206186145544,2024-12-09,0,"Low"
2025-01-14,0,0.0806780127766717,0.00666666666666667,0.0326651073992252,2024-12-09,0.00666666666666667,"Low"
2025-01-15,0,0.0709784746064047,0.04,0.0642703920602798,2024-12-09,0.04,"Low"
2025-01-16,0,0.0712147439902051,0.0333333333333333,0.0543764717876911,2024-12-09,0.0333333333333333,"Low"
2025-01-17,0,0.0885969865160052,0.0266666666666667,0.0534932389855385,2024-12-09,0.0266666666666667,"Low"
2025-01-21,0,0.0512423101134439,0.05,0.0416662283241749,2024-12-09,0.05,"Low"
2025-01-22,0,0.0798544763751139,0.00333333333333333,0.0187569707632065,2024-12-09,0.00333333333333333,"Low"
2025-01-23,0,0.0714600301210657,0,0.0200161300599575,2024-12-09,0,"Low"
2025-01-24,0,0.0525780208376169,0.01,0.0187569707632065,2024-12-09,0.01,"Low"
2025-01-27,0,0.0584070193354964,0.01,0.018770782276988,2024-12-09,0.01,"Low"
2025-01-28,0,0.0493937835172165,0.00666666666666667,0.0185725688934326,2024-12-09,0.00666666666666667,"Low"
2025-01-29,0,0.0533881725018314,0.00333333333333333,0.0187569707632065,2024-12-09,0.00333333333333333,"Low"
2025-01-30,0,0.0461969835302805,0,0.017878420650959,2024-12-09,0,"Low"
2025-01-31,0,0.0706299901849923,0.00333333333333333,0.0178952571004629,2024-12-09,0.00333333333333333,"Low"
2025-02-03,0,0.062360209244415,0.00666666666666667,0.0195955447852612,2024-12-09,0.00666666666666667,"Low"
2025-02-04,0,0.0476408349561007,0.00666666666666667,0.017878420650959,2024-12-09,0.00666666666666667,"Low"
2025-02-05,0,0.0376848687204018,0.00666666666666667,0.0195769350975752,2024-12-09,0.00666666666666667,"Low"
2025-02-06,0,0.045598266007671,0.00333333333333333,0.0195769350975752,2024-12-09,0.00333333333333333,"Low"
2025-02-07,0,0.0631114272425156,0.01,0.0177214276045561,2024-12-09,0.01,"Low"
2025-02-10,1,0.0801555383639365,0.00333333333333333,0.0186607111245394,2024-12-09,0.00333333333333333,"Low"
2025-02-11,1,0.118059785927344,0,0.01083888951689,2024-12-09,0,"Low"
2025-02-12,1,0.134761307906685,0.00666666666666667,0.0111297871917486,2024-12-09,0.00666666666666667,"Low"
2025-02-13,1,0.100291114385924,0,0.0113058043643832,2024-12-09,0,"Low"
2025-02-14,1,0.0992114621250251,0,0.0108549846336246,2024-12-09,0,"Low"
2025-02-18,1,0.0863324210332225,0,0.0100167375057936,2024-12-09,0,"Low"
2025-02-19,1,0.0735337503671954,0,0.0101510658860207,2024-12-09,0,"Low"
2025-02-20,1,0.0581466909936828,0,0.0101510658860207,2024-12-09,0,"Low"
2025-02-21,1,0.0726146753648135,0.00333333333333333,0.010695437900722,2024-12-09,0.00333333333333333,"Low"
2025-02-24,0,0.0679042739179446,0.00333333333333333,0.0106090493500233,2024-12-09,0.00333333333333333,"Low"
2025-02-25,0,0.0736747573380944,0.00333333333333333,0.0123537741601467,2024-12-09,0.00333333333333333,"Low"
2025-02-26,0,0.0766257705283993,0,0.0114666288718581,2024-12-09,0,"Low"
2025-02-27,0,0.111731028789219,0.0133333333333333,0.013759677298367,2024-12-09,0.0133333333333333,"Low"
2025-02-28,0,0.10002415866998,0.0233333333333333,0.0135698895901442,2024-12-09,0.0233333333333333,"Low"
2025-03-03,0,0.106555700116172,0.00333333333333333,0.0233772359788418,2024-12-09,0.00333333333333333,"Low"
2025-03-04,0,0.13267651362109,0.00666666666666667,0.0229974593967199,2024-12-09,0.00666666666666667,"Low"
2025-03-05,0,0.136524371769983,0,0.0256915856152773,2024-12-09,0,"Low"
2025-03-06,1,0.166492395226915,0.02,0.0318291299045086,2024-12-09,0.02,"Low"
2025-03-07,1,0.130080430401641,0.02,0.0318060256540775,2024-12-09,0.02,"Low"
2025-03-10,1,0.177131847642273,0.0933333333333333,0.0997007861733437,2024-12-09,0.0933333333333333,"Low"
2025-03-11,1,0.17533069139544,0.0966666666666667,0.0583963468670845,2024-12-09,0.0966666666666667,"Low"
2025-03-12,1,0.161401097022807,0.153333333333333,0.0775090828537941,2024-12-09,0.153333333333333,"Low"
2025-03-13,1,0.130613427782407,0.1,0.0490059927105904,2024-12-09,0.1,"Low"
2025-03-14,1,0.156742645831421,0.266666666666667,0.172741800546646,2025-03-13,0.266666666666667,"Low"
2025-03-17,1,0.119865732940822,0.28,0.169061660766602,2025-03-13,0.28,"Low"
2025-03-18,1,0.115444200334248,0.256666666666667,0.158431306481361,2025-03-13,0.256666666666667,"Low"
2025-03-19,1,0.0980789905391454,0.186666666666667,0.152182936668396,2025-03-13,0.186666666666667,"Low"
2025-03-20,1,0.0994932821289551,0.26,0.154886335134506,2025-03-13,0.26,"Low"
2025-03-21,1,0.104004688115253,0.24,0.154886335134506,2025-03-13,0.24,"Low"
2025-03-24,1,0.064364651115334,0.06,0.0895753055810928,2025-03-13,0.06,"Low"
2025-03-25,1,0.0591730919562532,0.0466666666666667,0.0636297762393951,2025-03-13,0.0466666666666667,"Low"
2025-03-26,1,0.077418952902829,0.0566666666666667,0.108083613216877,2025-03-13,0.0566666666666667,"Low"
2025-03-27,1,0.0776739350716016,0.0766666666666667,0.116346672177315,2025-03-13,0.0766666666666667,"Low"
2025-03-28,1,0.114613575926813,0.24,0.133059278130531,2025-03-13,0.24,"Low"
2025-03-31,1,0.091262540278053,0.183333333333333,0.111981801688671,2025-03-13,0.183333333333333,"Low"
2025-04-01,1,0.0863862756301158,0.256666666666667,0.158938556909561,2025-03-13,0.256666666666667,"Low"
2025-04-02,1,0.069185791412339,0.156666666666667,0.147387742996216,2025-03-13,0.156666666666667,"Low"
2025-04-03,0,0.159607980135932,0.57,0.406713038682938,2025-03-13,0.57,"Medium"
2025-04-04,0,0.273248405362635,0.633333333333333,0.251951813697815,2025-03-13,0.633333333333333,"Medium"
2025-04-07,0,0.402457736494826,0.313333333333333,0.127889022231102,2025-03-13,0.313333333333333,"Low"
2025-04-08,0,0.454244550703384,0.406666666666667,0.143350481987,2025-03-13,0.406666666666667,"Medium"
2025-04-09,0,0.230579843043121,0.356666666666667,0.32481586933136,2025-03-13,0.356666666666667,"Medium"
2025-04-10,0,0.33775491461242,0.296666666666667,0.131342545151711,2025-03-13,0.296666666666667,"Low"
2025-04-11,0,0.23981258970607,0.15,0.212282478809357,2025-03-13,0.15,"Low"
2025-04-14,0,0.156969903888956,0.2,0.207946822047234,2025-03-13,0.2,"Low"
2025-04-15,0,0.169300106393301,0.153333333333333,0.20864325761795,2025-03-13,0.153333333333333,"Low"
2025-04-16,0,0.22075069404569,0.0666666666666667,0.0612269267439842,2025-03-13,0.0666666666666667,"Low"
2025-04-17,0,0.251771869328158,0.0133333333333333,0.0597994960844517,2025-03-13,0.0133333333333333,"Low"
2025-04-21,0,0.313719137789625,0.0466666666666667,0.0677892193198204,2025-03-13,0.0466666666666667,"Low"
2025-04-22,0,0.299986656308882,0.14,0.0828151181340218,2025-03-13,0.14,"Low"
2025-04-23,0,0.240629705761157,0.0766666666666667,0.0734646990895271,2025-03-13,0.0766666666666667,"Low"
2025-04-24,0,0.166801199183754,0.183333333333333,0.0773960128426552,2025-03-13,0.183333333333333,"Low"
2025-04-25,0,0.173533146684938,0.11,0.0666965767741203,2025-03-13,0.11,"Low"
2025-04-28,0,0.126560112642313,0.23,0.222424209117889,2025-03-13,0.23,"Low"
2025-04-29,0,0.174864215505664,0.22,0.253488808870316,2025-03-13,0.22,"Low"
2025-04-30,0,0.186868330966283,0.223333333333333,0.229261159896851,2025-03-13,0.223333333333333,"Low"
2025-05-01,0,0.183679791828919,0.183333333333333,0.226927906274796,2025-03-13,0.183333333333333,"Low"
2025-05-02,0,0.125334884400976,0.216666666666667,0.208595722913742,2025-03-13,0.216666666666667,"Low"
2025-05-05,0,0.13773449641912,0.196666666666667,0.195033892989159,2025-03-13,0.196666666666667,"Low"
2025-05-06,0,0.21620372067497,0.13,0.191438525915146,2025-03-13,0.13,"Low"
